CustomerKey,Gender,TotalChildren,EnglishOccupation,NumberCarsOwned,CommuteDistance,Age,BikeBuyer
11000,M,2,Professional,0,1-2 Miles,49,1
11001,M,3,Professional,1,0-1 Miles,50,1
11002,M,3,Professional,1,2-5 Miles,50,1
11003,F,0,Professional,1,5-10 Miles,47,1
11004,F,5,Professional,4,1-2 Miles,47,1
11005,M,0,Professional,1,5-10 Miles,50,1
11006,F,0,Professional,1,5-10 Miles,49,1
11007,M,3,Professional,2,0-1 Miles,51,1
11008,F,4,Professional,3,10+ Miles,51,1
11009,M,0,Professional,1,5-10 Miles,51,1
11010,F,0,Professional,1,5-10 Miles,51,1
11011,M,4,Professional,4,10+ Miles,51,1
11012,F,2,Management,2,1-2 Miles,47,0
11013,M,2,Management,3,0-1 Miles,47,0
11014,F,3,Management,3,1-2 Miles,47,0
11015,F,0,Skilled Manual,1,5-10 Miles,36,1
11016,M,0,Skilled Manual,1,5-10 Miles,36,1
11017,F,4,Skilled Manual,2,5-10 Miles,71,1
11018,M,2,Clerical,2,5-10 Miles,70,1
11019,M,0,Skilled Manual,2,5-10 Miles,37,0
11020,M,0,Skilled Manual,2,1-2 Miles,36,1
11021,F,0,Skilled Manual,1,1-2 Miles,37,1
11022,M,0,Skilled Manual,1,5-10 Miles,36,1
11023,M,0,Skilled Manual,1,1-2 Miles,36,0
11024,M,0,Skilled Manual,2,5-10 Miles,36,0
11025,M,2,Clerical,2,1-2 Miles,69,1
11026,M,2,Clerical,2,1-2 Miles,69,1
11027,M,2,Clerical,2,5-10 Miles,68,1
11028,F,2,Clerical,2,1-2 Miles,69,1
11029,M,2,Clerical,2,1-2 Miles,68,1
11030,F,2,Clerical,2,1-2 Miles,68,1
11031,F,4,Skilled Manual,2,1-2 Miles,68,1
11032,F,4,Skilled Manual,2,1-2 Miles,68,1
11033,M,4,Skilled Manual,2,5-10 Miles,67,1
11034,F,4,Skilled Manual,2,5-10 Miles,68,1
11035,F,2,Clerical,2,1-2 Miles,67,1
11036,F,0,Skilled Manual,2,1-2 Miles,36,1
11037,F,0,Clerical,2,5-10 Miles,37,1
11038,F,2,Clerical,2,5-10 Miles,67,1
11039,M,3,Clerical,2,5-10 Miles,66,1
11040,M,0,Skilled Manual,2,1-2 Miles,38,1
